trdar_cd,district_name,obs_count,avg_closure_rate,high_risk_pct,avg_store_count,avg_sales
3110821,보라매역 2번,262,0.0436,0.2061,6.8,165873644.0
3110479,연신내역 2번,283,0.0435,0.2014,7.7,352073132.0
3120109,서울남부지방법원,882,0.0435,0.229,9.3,373920767.0
3120032,충무로역,927,0.0435,0.3053,20.4,1158039439.0
3110140,건대입구역 6번,542,0.0435,0.2638,11.8,377578746.0
3110072,열정도,98,0.0435,0.2755,9.2,968484557.0
3110278,망우본동주민센터,611,0.0435,0.2144,7.3,274204970.0
3110308,길음역 8번,345,0.0435,0.2145,6.8,266983005.0
3120086,태릉입구역,664,0.0434,0.1822,7.0,348693509.0
3110113,응봉산,123,0.0434,0.0813,3.0,30248233.0
3110842,흑리단길,363,0.0434,0.1653,6.0,331190797.0
3110557,홍대부속여중고앞,506,0.0434,0.2154,8.1,211213108.0
3110708,화원어린이공원,98,0.0434,0.1122,3.2,37512801.0
3110277,러스크서울병원,325,0.0434,0.2215,6.8,243070306.0
3110024,혜회동주민센터,194,0.0434,0.134,5.9,208857474.0
3110612,신정역 5번,476,0.0433,0.2101,7.5,160726969.0
3120083,등나무근린공원,997,0.0433,0.2307,15.0,1918763166.0
3120185,논현역,1234,0.0433,0.3987,21.6,2116118282.0
3130290,영림시장,959,0.0433,0.2221,8.6,623363430.0
3120168,서울고교교차로,179,0.0432,0.1955,11.0,617143438.0
3110877,신림역 8번,404,0.0432,0.1931,6.6,421390867.0
3110429,공릉동 국수거리,708,0.0432,0.1638,8.9,393701322.0
3110487,불광역 8번,154,0.0432,0.1429,4.7,436451714.0
3130268,상도전통시장,453,0.0431,0.1634,6.0,354775073.0
3120240,개롱역,969,0.0431,0.2064,9.4,708065310.0
3110131,성수동카페거리,558,0.043,0.2993,15.4,1957240869.0
3110080,해방촌예술마을,243,0.043,0.1934,6.6,189312076.0
3110478,응암1동주민센터,187,0.043,0.1337,5.1,313554544.0
3110804,신풍역 1번,386,0.043,0.1554,5.4,362508954.0
3110405,방학역 1번,861,0.043,0.1974,8.8,348590047.0
3110240,태릉시장 특화거리,350,0.043,0.1971,7.1,296284862.0
3110182,용두희망어린이공원,107,0.0429,0.1589,5.5,490187535.0
3110358,인수동 우편취급국,173,0.0429,0.2312,7.5,104171360.0
3111004,삼전역 1번,967,0.0429,0.2647,11.4,696694688.0
3110896,관악우성아파트,221,0.0429,0.1629,5.9,211902588.0
3111070,천호초등학교,84,0.0429,0.119,3.5,162903731.0
3110544,망리단길,1075,0.0429,0.346,19.8,389751488.0
3110916,내방역 4번,258,0.0429,0.1357,5.8,254376705.0
3120224,수서역,944,0.0429,0.1875,9.1,1461487379.0
3110654,까치산역 4번,894,0.0428,0.2427,9.2,253894418.0
3110722,G타워,205,0.0428,0.1122,3.6,340550902.0
3120111,목동사거리,903,0.0428,0.2447,10.3,545855994.0
3111055,선사초등학교,30,0.0428,0.1667,5.4,288528229.0
3110020,서울국제고등학교,315,0.0428,0.146,6.1,205622073.0
3130110,면목골목시장(면목시장),677,0.0427,0.2112,8.5,465492630.0
3110345,솔밭공원역 2번,323,0.0427,0.1734,5.8,327893255.0
3130219,까치산시장,620,0.0427,0.2323,9.2,695193826.0
3110834,동작구자원봉사센터,41,0.0427,0.122,3.4,61403274.0
3120162,방배동카페골목,767,0.0427,0.1982,8.9,541278905.0
3110926,신중초등학교,174,0.0427,0.1724,6.0,82465568.0
3110864,신림우방아파트,145,0.0427,0.131,4.6,296141588.0
3110616,양목초등학교,65,0.0426,0.1385,4.0,53766942.0
3110917,서초소방서,47,0.0426,0.0426,3.1,1159939096.0
3110306,미아초등학교,125,0.0426,0.168,4.8,85835421.0
3111056,천호태영아파트,88,0.0426,0.1023,2.7,294415287.0
3110382,솔밭공원역 1번,133,0.0426,0.1053,3.2,128458056.0
3120193,도산공원교차로,750,0.0425,0.256,13.1,1909132359.0
3110396,쌍문역1번(쌍리단길),504,0.0425,0.1825,6.6,635022442.0
3130178,이대 앞 스타트업 상점가,250,0.0425,0.228,8.7,140980488.0
3120076,수유역,1089,0.0425,0.4601,29.6,2472690357.0
3120039,신당역,908,0.0425,0.3392,82.0,815189123.0
3110943,법제교육센터(버들어린이공원),277,0.0424,0.1552,4.5,322847314.0
3110762,선유도역 1번,882,0.0424,0.2483,10.7,1165630877.0
3110482,연신초등학교,197,0.0424,0.1624,4.6,125499584.0
3120107,공덕역(공덕오거리),732,0.0424,0.347,16.3,1135152702.0
3110342,국립재활원,55,0.0424,0.1091,3.4,53977655.0
3120194,언주역(차병원),775,0.0424,0.3729,18.2,1133510483.0
3110012,성곡미술관,141,0.0424,0.234,8.4,591343215.0
3120106,마포역,869,0.0423,0.267,13.3,731012610.0
3110259,사가정역 1번,399,0.0423,0.208,8.7,393797385.0
3120235,문정역,805,0.0423,0.5304,45.0,1596190827.0
3120079,창동역,947,0.0423,0.2196,9.7,966988609.0
3110741,독산2동주민센터,475,0.0422,0.1747,6.1,249333944.0
3120052,성수역,1120,0.0422,0.3777,22.6,1404288934.0
3110365,미아역 5번,231,0.0422,0.1472,6.9,184099885.0
3120045,남영동 먹자골목,514,0.0422,0.2023,10.1,1056536802.0
3130061,이태원시장,155,0.0421,0.271,23.0,607861896.0
3110738,문성초등학교,636,0.0421,0.2311,8.5,312880374.0
3111037,Sh수협은행 오금동금융센터(아랫말어린이공원),91,0.0421,0.0989,3.8,158077035.0
